// Armazenamento de todas as perguntas e suas respectivas respostas
pergunta;a;b;c;d;correta
Qual o principal objetivo prático da filosofia para a ativista Angela Davis?;Vincular o saber ao restrito universo acadêmico;Aproximá-la dos problemas sociais e urgentes;Afastá-la totalmente da abordagem socrática;Responsabilizá-la pela pobreza material humana;B
Qual a importância do programa Maré Inclusiva, criado no Brasil em 2024?;Criar uma política esportiva para a inclusão;Treinar atletas apenas para eventos tradicionais;Substituir os Jogos Olímpicos convencionais;Diminuir o investimento em esportes aquáticos;A
Como é chamado o repertório linguístico usado nos rituais de candomblé na Bahia?;Dialeto nagô;Português arcaico;Língua de santo;Yorubá moderno;C
O artesanato em madeira típico da Ilha do Ferro (AL) destaca-se por qual motivo?;Reprodução de modelos artísticos clássicos;Uso exclusivo de madeiras importadas da Europa;Replicação seriada de peças em larga escala;Ressignificação da matéria-prima com nova função;D
Durante qual governo do século XX ocorreu a grande expansão do rádio no Brasil?;João Goulart;Getúlio Vargas;Juscelino Kubitschek;Eurico Gaspar Dutra;B
O radiojornalismo no Brasil teve seu grande marco inicial durante qual evento?;Proclamação da República;Fim da Segunda Guerra Mundial;Revolução Constitucionalista de 1932;Revolução Farroupilha;C
Qual etnia indígena elegeu uma mulher como cacique de forma inédita em 1995?;Yanomami;Guarani-Kaiowá;Jenipapo-Kanindé;Tupinambá;C
Qual o objetivo geopolítico da alteração do nome da Macedônia do Norte em 2019?;Intensificar a integração regional com a Europa;Criar uma moeda unificada nos países dos Bálcãs;Expandir seu território através de força militar;Romper de vez os laços econômicos com a Grécia;A
Para o sociólogo Zygmunt Bauman, qual a principal função da utopia na sociedade?;Habilitar memórias afetivas de tempos passados;Apontar alternativas e futuros possíveis;Legitimar as experiências de governos antigos;Perpetuar paradigmas científicos ultrapassados;B
Segundo a filosofia clássica de Platão, quem deveria governar a cidade ideal?;Os produtores e comerciantes locais;Os guerreiros mais fortes e destemidos;Os sacerdotes religiosos de alto clero;Os filósofos guiados pela racionalidade;D
Qual foi a função política da Impressão Régia, criada no Brasil no ano de 1808?;Incentivar revoltas populares contra a coroa;Integrar as diversas regiões ao poder central;Proibir a circulação de literatura nacional;Propagar as leis brasileiras por toda a Europa;B
O que caracteriza de forma direta a obtenção de energia chamada de geotérmica?;Captação da radiação solar por modernos painéis;Aproveitamento da força dos ventos no litoral;Transferência de energia térmica do subsolo;Queima de biomassa orgânica para gerar calor;C
Na filosofia pré-socrática de Heráclito, o universo é caracterizado pelo quê?;Paz e constância eternas e imutáveis das coisas;Imobilidade absoluta de todo o cosmos;Ausência completa de fenômenos naturais;Distribuição e conflito dicotômico de opostos;D
Para os europeus colonizadores, o que o canibalismo dos indígenas Tupis indicava?;Incapacidade de autogoverno e sinal de barbárie;Avanço notável nas complexas táticas de guerra;Superioridade em relação aos hábitos alimentares;Respeito absoluto às divindades florestais;A
Como os direitos do homem são classificados pela perspectiva sociológica?;Como leis naturais e permanentemente absolutas;Como privilégios estritos concedidos à nobreza;Como uma classe de direitos variável e mutável;Como imposições divinas que são inquestionáveis;C
Por que carros modernos são projetados com partes que se deformam facilmente?;Para diminuir o peso total do veículo nas vias;Para acionar mais rápido o sistema elétrico;Para absorver a energia cinética durante o impacto;Para aumentar a velocidade do centro de massa;C
Como as bactérias eletrogênicas atuam em células a combustível microbianas?;Geram eletricidade ao consumir matéria orgânica;Purificam a água exclusivamente com energia solar;Produzem muito oxigênio puro para a atmosfera;Transformam resíduos plásticos urbanos em adubos;A
